File;Generations;Time;Fitness;Regenerators;Disconnected
weight_dataN100P1Inst2.txt;79;846;4800;16;0
weight_dataN100P1Inst7.txt;0;0;26800;6;50
weight_dataN100P3Inst2.txt;0;0;23200;2;45
weight_dataN100P3Inst7.txt;0;0;33200;1;66
weight_dataN100P5Inst2.txt;0;0;21700;1;43
weight_dataN100P5Inst7.txt;0;0;22700;1;45
weight_dataN100P1Inst4.txt;28;333;4000;15;0
weight_dataN100P7Inst2.txt;0;0;14200;1;28
weight_dataN100P1Inst9.txt;0;0;31800;4;61
weight_dataN100P1Inst1.txt;73;804;4700;18;0
weight_dataN100P7Inst7.txt;0;0;14700;1;29
weight_dataN100P3Inst4.txt;0;0;30800;1;61
weight_dataN100P1Inst5.txt;0;0;29200;6;55
weight_dataN100P9Inst2.txt;0;0;8700;1;17
weight_dataN100P3Inst9.txt;0;0;32700;1;65
weight_dataN100P3Inst1.txt;0;0;27400;2;54
weight_dataN100P9Inst7.txt;0;0;7200;1;14
weight_dataN40P1Inst2.txt;0;0;20000;0;40
weight_dataN40P1Inst7.txt;0;0;20000;0;40
weight_dataN100P5Inst4.txt;0;0;26300;1;52
weight_dataN40P3Inst2.txt;0;0;20000;0;40
weight_dataN100P3Inst5.txt;0;0;34700;1;69
weight_dataN40P3Inst7.txt;0;0;20000;0;40
weight_dataN40P5Inst2.txt;0;0;20000;0;40
weight_dataN40P5Inst7.txt;0;0;20000;0;40
weight_dataN40P7Inst2.txt;0;0;20000;0;40
weight_dataN40P7Inst7.txt;0;0;20000;0;40
weight_dataN100P5Inst9.txt;0;0;25300;1;50
weight_dataN40P9Inst2.txt;0;0;20000;0;40
weight_dataN100P5Inst1.txt;0;0;23700;1;47
weight_dataN40P9Inst7.txt;0;0;20000;0;40
weight_dataN100P1Inst3.txt;287;3195;4300;16;0
weight_dataN60P1Inst2.txt;0;0;30000;0;60
weight_dataN60P1Inst7.txt;0;0;30000;0;60
weight_dataN100P7Inst4.txt;0;0;14300;1;28
weight_dataN60P3Inst2.txt;0;0;30000;0;60
weight_dataN100P5Inst5.txt;0;0;25700;1;51
weight_dataN100P1Inst8.txt;0;0;28900;5;55
weight_dataN60P3Inst7.txt;0;0;30000;0;60
weight_dataN100P7Inst9.txt;0;0;14800;1;29
weight_dataN60P5Inst2.txt;0;0;30000;0;60
weight_dataN100P3Inst3.txt;0;0;30200;1;60
weight_dataN100P7Inst1.txt;0;0;15700;1;31
weight_dataN60P5Inst7.txt;0;0;30000;0;60
weight_dataN100P9Inst4.txt;0;0;3800;1;7
weight_dataN60P7Inst2.txt;0;0;30000;0;60
weight_dataN100P3Inst8.txt;0;0;35400;1;70
weight_dataN60P7Inst7.txt;0;0;30000;0;60
weight_dataN100P7Inst5.txt;0;0;15700;1;31
weight_dataN100P9Inst9.txt;0;0;7800;1;15
weight_dataN60P9Inst2.txt;0;0;30000;0;60
weight_dataN40P1Inst4.txt;0;0;20000;0;40
weight_dataN40P1Inst9.txt;0;0;20000;0;40
weight_dataN60P9Inst7.txt;0;0;30000;0;60
weight_dataN40P3Inst4.txt;0;0;20000;0;40
weight_dataN100P9Inst1.txt;0;0;8200;1;16
weight_dataN40P3Inst9.txt;0;0;20000;0;40
weight_dataN100P5Inst3.txt;0;0;23300;1;46
weight_dataN40P5Inst4.txt;0;0;20000;0;40
weight_dataN80P1Inst2.txt;0;0;35800;1;71
weight_dataN40P5Inst9.txt;0;0;20000;0;40
weight_dataN100P9Inst5.txt;0;0;5200;1;10
weight_dataN40P7Inst4.txt;0;0;20000;0;40
weight_dataN80P1Inst7.txt;0;0;36800;1;73
weight_dataN40P1Inst1.txt;0;0;20000;0;40
weight_dataN40P7Inst9.txt;0;0;20000;0;40
weight_dataN100P1Inst10.txt;44;488;5600;18;1
weight_dataN40P1Inst5.txt;0;0;20000;0;40
weight_dataN40P9Inst4.txt;0;0;20000;0;40
weight_dataN100P5Inst8.txt;0;0;26300;1;52
weight_dataN40P3Inst1.txt;0;0;20000;0;40
weight_dataN40P9Inst9.txt;0;0;20000;0;40
weight_dataN80P3Inst2.txt;0;0;27300;1;54
weight_dataN40P3Inst5.txt;0;0;20000;0;40
weight_dataN60P1Inst4.txt;0;0;30000;0;60
weight_dataN40P5Inst1.txt;0;0;20000;0;40
weight_dataN100P1Inst6.txt;0;0;25900;6;48
weight_dataN60P1Inst9.txt;0;0;30000;0;60
weight_dataN40P5Inst5.txt;0;0;20000;0;40
weight_dataN80P3Inst7.txt;0;0;30300;1;60
weight_dataN40P7Inst1.txt;0;0;20000;0;40
weight_dataN100P7Inst3.txt;0;0;9800;1;19
weight_dataN60P3Inst4.txt;0;0;30000;0;60
weight_dataN40P7Inst5.txt;0;0;20000;0;40
weight_dataN40P9Inst1.txt;0;0;20000;0;40
weight_dataN60P3Inst9.txt;0;0;30000;0;60
weight_dataN40P9Inst5.txt;0;0;20000;0;40
weight_dataN100P3Inst10.txt;0;0;22900;2;45
weight_dataN80P5Inst2.txt;0;0;22800;1;45
weight_dataN60P1Inst1.txt;0;0;30000;0;60
weight_dataN60P5Inst4.txt;0;0;30000;0;60
weight_dataN100P7Inst8.txt;0;0;18300;1;36
weight_dataN60P1Inst5.txt;0;0;30000;0;60
weight_dataN60P5Inst9.txt;0;0;30000;0;60
weight_dataN100P3Inst6.txt;0;0;33800;1;67
weight_dataN60P3Inst1.txt;0;0;30000;0;60
weight_dataN80P5Inst7.txt;0;0;26800;1;53
weight_dataN60P7Inst4.txt;0;0;30000;0;60
weight_dataN60P3Inst5.txt;0;0;30000;0;60
weight_dataN100P9Inst3.txt;0;0;4300;1;8
weight_dataN60P7Inst9.txt;0;0;30000;0;60
weight_dataN60P5Inst1.txt;0;0;30000;0;60
weight_dataN80P7Inst2.txt;0;0;11300;1;22
weight_dataN60P9Inst4.txt;0;0;30000;0;60
weight_dataN100P5Inst10.txt;0;0;27800;1;55
weight_dataN100P9Inst8.txt;0;0;8800;1;17
weight_dataN60P5Inst5.txt;0;0;30000;0;60
weight_dataN40P1Inst3.txt;0;0;20000;0;40
weight_dataN60P9Inst9.txt;0;0;30000;0;60
weight_dataN40P1Inst8.txt;0;0;20000;0;40
weight_dataN80P7Inst7.txt;0;0;12800;1;25
weight_dataN60P7Inst1.txt;0;0;30000;0;60
weight_dataN40P3Inst3.txt;0;0;20000;0;40
weight_dataN80P1Inst4.txt;0;0;35700;1;71
weight_dataN40P3Inst8.txt;0;0;20000;0;40
weight_dataN80P9Inst2.txt;0;0;6300;1;12
weight_dataN60P7Inst5.txt;0;0;30000;0;60
weight_dataN40P5Inst3.txt;0;0;20000;0;40
weight_dataN100P5Inst6.txt;0;0;23800;1;47
weight_dataN40P5Inst8.txt;0;0;20000;0;40
weight_dataN80P1Inst9.txt;0;0;34200;1;68
weight_dataN60P9Inst1.txt;0;0;30000;0;60
weight_dataN40P7Inst3.txt;0;0;20000;0;40
weight_dataN80P9Inst7.txt;0;0;2800;1;5
weight_dataN60P9Inst5.txt;0;0;30000;0;60
weight_dataN40P7Inst8.txt;0;0;20000;0;40
weight_dataN40P9Inst3.txt;0;0;20000;0;40
weight_dataN80P3Inst4.txt;0;0;24200;1;48
weight_dataN40P9Inst8.txt;0;0;20000;0;40
weight_dataN80P1Inst1.txt;0;0;35700;1;71
weight_dataN100P7Inst10.txt;0;0;15800;1;31
weight_dataN60P1Inst3.txt;0;0;30000;0;60
weight_dataN80P1Inst5.txt;0;0;35700;1;71
weight_dataN60P1Inst8.txt;0;0;30000;0;60
weight_dataN80P3Inst9.txt;0;0;26200;1;52
weight_dataN60P3Inst3.txt;0;0;30000;0;60
weight_dataN100P7Inst6.txt;0;0;12300;1;24
weight_dataN80P3Inst1.txt;0;0;25700;1;51
weight_dataN60P3Inst8.txt;0;0;30000;0;60
weight_dataN80P5Inst4.txt;0;0;20200;1;40
weight_dataN60P5Inst3.txt;0;0;30000;0;60
weight_dataN100P9Inst10.txt;0;0;7800;1;15
weight_dataN80P3Inst5.txt;0;0;26200;1;52
weight_dataN80P5Inst9.txt;0;0;23200;1;46
weight_dataN60P5Inst8.txt;0;0;30000;0;60
weight_dataN100P9Inst6.txt;0;0;3800;1;7
weight_dataN60P7Inst3.txt;0;0;30000;0;60
weight_dataN80P5Inst1.txt;0;0;20700;1;41
weight_dataN40P1Inst10.txt;0;0;20000;0;40
weight_dataN40P1Inst6.txt;0;0;20000;0;40
weight_dataN80P7Inst4.txt;0;0;13200;1;26
weight_dataN40P3Inst10.txt;0;0;20000;0;40
weight_dataN60P7Inst8.txt;0;0;30000;0;60
weight_dataN40P3Inst6.txt;0;0;20000;0;40
weight_dataN60P9Inst3.txt;0;0;30000;0;60
weight_dataN40P5Inst10.txt;0;0;20000;0;40
weight_dataN80P5Inst5.txt;0;0;19700;1;39
weight_dataN80P7Inst9.txt;0;0;11700;1;23
weight_dataN40P5Inst6.txt;0;0;20000;0;40
weight_dataN60P9Inst8.txt;0;0;30000;0;60
weight_dataN40P7Inst10.txt;0;0;20000;0;40
weight_dataN40P7Inst6.txt;0;0;20000;0;40
weight_dataN80P9Inst4.txt;0;0;4700;1;9
weight_dataN80P7Inst1.txt;0;0;15700;1;31
weight_dataN80P1Inst3.txt;0;0;37700;1;75
weight_dataN40P9Inst10.txt;0;0;20000;0;40
weight_dataN40P9Inst6.txt;0;0;20000;0;40
weight_dataN80P1Inst8.txt;0;0;37200;1;74
weight_dataN80P9Inst9.txt;0;0;5200;1;10
weight_dataN60P1Inst10.txt;0;0;30000;0;60
weight_dataN80P7Inst5.txt;0;0;13200;1;26
weight_dataN60P1Inst6.txt;0;0;30000;0;60
